"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="0050","元大台灣50","139.7","+0.32","132.5","130.2","124.7","108.45","+1.16","+5.51","+2.99","+8.34","+28.4","+8,482","+35.3","141.2","143.5","143.5","143.5"
="0056","元大高股息","32.2","+0.16","30.59","30.59","30.59","28.38","+0.78","+0.09","-3.22","-4.31","+13.4","+6,997","+7.56","32.52","33.59","36.05","36.17"
"00632R","元大台灣50反1","5.37","-0.37","5.34","5.34","5.34","5.34","-1.47","-6.93","-5.12","-14.8","-31.9","-84,867","-16","5.77","5.9","6.54","7.93"
"00633L","富邦上証正2","54.55","-0.09","51.45","47.68","47.68","47.68","-1.27","-7.07","-0.91","-18","-12.4","-2,770","-9.22","59.9","59.9","76.4","95.65"
"00637L","元大滬深300正2","21.63","-0.23","20.43","18.84","18.84","18.84","-1.5","-6.85","-0.83","-17.6","-11.3","-1,682","-0.82","23.77","23.77","30.25","37.59"
"00642U","期元大S&P石油","14.13","-0.63","13.85","10.86","10.54","7.43","+1.95","+1.44","+19.8","+30","+86.2","+2,980","+10.2","14.75","14.75","14.75","14.75"
"00664R","國泰臺灣加權反1","6.07","-0.49","6.04","6.04","6.04","6.04","-1.62","-7.04","-5.45","-15.1","-32.3","0","0","6.54","6.69","7.43","9"
"00673R","期元大S&P原油反1","12.91","+0.47","12.43","12.43","12.43","12.43","-2.42","-3.08","-19","-27.2","-55.1","-243","-1.42","13.31","17.29","18.21","29.69"
"00676R","富邦臺灣加權反1","3.32","-0.3","3.3","3.3","3.3","3.3","-1.48","-7","-5.14","-14.9","-31.8","0","0","3.57","3.65","4.06","4.89"
="00692","富邦公司治理","36.43","+0.3","34.17","33.51","31.93","27.77","+1.62","+6.65","+4.56","+9.99","+30.9","-770","-6.65","36.64","36.65","36.65","36.65"
="00713","元大台灣高息低波","45.32","+0.31","43.4","42.37","38.56","33.64","+1.25","+4.4","+4.21","+12.1","+29.8","-697","-7.91","45.36","45.36","45.36","45.36"
"00715L","期街口布蘭特正2","11.3","-1.65","10.99","7.04","6.75","3.26","+2.73","-2.42","+39.7","+57.4","+228","-7,613","-4.7","12.29","12.29","12.29","12.29"
"00720B","元大投資級公司債","44.47","+0.02","43.15","43.15","41.7","41.53","+0.34","+1.25","+1.18","+6.26","-2.31","-6","-1.4","44.99","45.25","45.35","47.2"
"00740B","富邦全球投等債","47.77","-0.1","46.7","46.7","45.24","44.95","+0.15","+0.34","+0.61","+5.41","-1.22","+21,152","+97.5","48.3","48.77","48.77","50.4"
="00878","國泰永續高股息","18.73","+0.32","18.02","17.35","17.3","14.89","+1.57","+3.88","+2.69","+3.77","+25.4","-2,500","-3.64","18.73","18.73","18.73","19.28"
="00881","國泰台灣5G+","18","+0.95","16.5","16.38","15.71","","+1.98","+8.89","+1.29","+9.89","","+6,419","+7.36","18.1","18.1","18.45",""
="00882","中信中國高股息","13.91","+0.72","13.38","13.38","13.38","","+0.36","-4.6","-2.73","-12.5","","-25,645","-19","14.66","15.21","16.22",""
="00885","富邦越南","17.37","-0.17","16.51","15.9","15.02","","+0.7","+2.66","+6.63","+14","","+4,883","+11.8","17.58","17.58","17.58",""
