"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)"
="0050","元大台灣50","139.25","-0.89","132.15","130.2","124.7","108.45","+2.28","+4.82","+1.68","+9.22","+28","+8,482","+35.3"
="0056","元大高股息","32.15","-0.59","30.59","30.59","30.59","28.35","+0.91","-0.28","-4.06","-3.74","+12.8","+6,997","+7.56"
"00632R","元大台灣50反1","5.39","+0.56","5.35","5.35","5.35","5.35","-2","-6.1","-3.58","-15.1","-31.4","-84,867","-16"
"00633L","富邦上証正2","54.6","+4.6","51.45","47.68","47.68","47.68","-0.64","-4.71","-1.8","-13.5","-14.3","-2,770","-9.22"
"00637L","元大滬深300正2","21.68","+4.73","20.43","18.84","18.84","18.84","-0.64","-4.45","-1.59","-13.2","-13","-1,682","-0.82"
"00642U","期元大S&P石油","14.22","-2.54","13.81","10.86","10.54","7.43","+1.86","+1.79","+18.9","+28.1","+85.9","+2,980","+10.2"
"00664R","國泰臺灣加權反1","6.1","+0.49","6.06","6.06","6.06","6.06","-2.09","-6.15","-3.63","-15.5","-31.8","0","0"
"00671R","富邦NASDAQ反1","5.02","+1.01","4.92","4.92","4.92","4.92","+0.8","-8.56","-6.69","-19.4","-29.8","0","0"
"00673R","期元大S&P原油反1","12.85","+2.72","12.43","12.43","12.43","12.43","-2.21","-3.02","-18.3","-26","-55.2","-243","-1.42"
"00676R","富邦臺灣加權反1","3.33","+0.3","3.31","3.31","3.31","3.31","-2.06","-6.2","-3.76","-15.5","-31.3","0","0"
="00692","富邦公司治理","36.32","-0.57","34.09","33.51","31.93","27.77","+2.48","+5.83","+3.3","+10.9","+30.2","-770","-6.65"
="00713","元大台灣高息低波","45.18","+0.11","43.32","42.37","38.56","33.64","+1.64","+4.05","+3.01","+10.9","+29","-697","-7.91"
"00715L","期街口布蘭特正2","11.49","-3.93","10.99","7.04","6.75","3.26","+3.33","-2.13","+38.8","+54","+224","-7,613","-4.7"
"00720B","元大投資級公司債","44.46","-1.02","43.15","43.15","41.7","41.53","+1.07","+1.83","+1.37","+6.7","-2.18","-6","-1.4"
"00740B","富邦全球投等債","47.82","-0.79","46.7","46.7","45.19","44.95","+1.12","+1.06","+0.95","+5.91","-0.95","+21,152","+97.5"
="00878","國泰永續高股息","18.67","-0.11","17.99","17.35","17.3","14.89","+1.36","+3.38","+1.74","+4.71","+24.5","-2,500","-3.64"
