"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W45外資買賣超張數","21W45外資買賣超佔成交(%)"
="0050","元大台灣50","139.2","+0.8","131.6","130.2","121.2","106.8","+1.98","+3.73","+0.58","+0.54","+30.5","+8,482","+35.3"
="0056","元大高股息","32.39","+1.38","30.59","30.59","30.59","28.23","+2.63","-0.61","-5.01","-9.73","+14.9","+6,997","+7.56"
"00632R","元大台灣50反1","5.41","-0.73","5.41","5.4","5.4","5.4","-1.81","-4.75","-2.17","-6.56","-33.1","-84,867","-16"
"00633L","富邦上証正2","54.95","-0.54","53.5","47.68","47.68","47.68","-2.31","-2.74","-0.81","-11.6","-10.3","-2,770","-9.22"
"00637L","元大滬深300正2","21.86","-0.46","21.26","18.84","18.84","18.84","-2.24","-2.32","-0.64","-11.1","-8.76","-1,682","-0.82"
"00642U","期元大S&P石油","14.33","+3.39","13.81","10.86","10.54","7.17","-1.04","+4.07","+23.6","+29","+101","+2,980","+10.2"
"00664R","國泰臺灣加權反1","6.12","-0.81","6.12","6.12","6.12","6.12","-1.77","-4.97","-2.24","-6.71","-33.4","0","0"
"00671R","富邦NASDAQ反1","4.92","-0.2","4.92","4.92","4.92","4.92","-2.96","-9.06","-8.55","-17","-30.2","0","0"
"00673R","期元大S&P原油反1","12.77","-3.48","12.49","12.49","12.49","12.49","+0.63","-5.27","-21.5","-26.7","-59.9","-243","-1.42"
"00676R","富邦臺灣加權反1","3.34","-0.89","3.34","3.34","3.33","3.33","-1.76","-5.11","-2.34","-6.96","-33.2","0","0"
"00715L","期街口布蘭特正2","11.66","+6","10.99","7.04","6.75","2.9","-0.17","+2.01","+48","+55.5","+306","-7,613","-4.7"
"00740B","富邦全球投等債","48.25","+1.15","46.7","46.7","45.12","44.95","+1.54","+1.79","+1.05","+5.72","-1.55","+21,152","+97.5"
="00877","FH中國5G","13.04","-1.29","11.96","11.81","10.93","10.93","+2.35","+5.5","-4.75","+18","-8.62","+7,769","+51.4"
="00878","國泰永續高股息","18.55","+0.6","17.93","17.35","17.25","14.72","+1.26","+2.04","+0.22","-3.69","+26.6","-2,500","-3.64"
="00881","國泰台灣5G+","17.76","+0.62","16.5","16.38","15.71","","+2.36","+4.66","-2.36","+0.34","","+6,419","+7.36"
="00882","中信中國高股息","13.71","-1.08","13.68","13.68","13.68","","-2.77","-6.67","-2.63","-14.8","","-25,645","-19"
="00885","富邦越南","17.5","+1.45","16.51","15.9","15.02","","+1.63","+6.45","+7.83","+12.9","","+4,883","+11.8"
="00888","永豐台灣ESG","15.56","+0.91","15.04","14.83","13.62","","+1.63","-2.02","-2.63","-0.77","","+87","+0.43"
="00891","中信關鍵半導體","16.39","+1.36","14.75","14.71","","","+3.34","+6.78","+0.68","","","+775","+1.45"
="00892","富邦台灣半導體","16.58","+0.61","15.05","14.76","","","+1.47","+5.81","+3.11","","","-430","-1.31"
="00893","國泰智能電動車","18.01","-1.32","14.61","14.17","","","+5.51","+22.3","+20.1","","","+2,267","+1.4"
="00894","中信小資高價30","15.4","+0.06","14.09","","","","+1.32","+6.43","","","","+2,938","+14.8"
="00895","富邦未來車","18.69","-1.32","15.01","","","","+2.69","+23.8","","","","-2,447","-2.81"
="00896","中信綠能及電動車","14.95","+0.34","14.16","","","","+0.67","+3.39","","","","-1,240","-4.12"
="00897","富邦基因免疫生技","14.5","-2.55","13.97","","","","-0.82","+2.18","","","","+4,556","+24.8"
="020022","元大電動車N","5.46","+0.37","4.96","4.9","4.9","","+3.61","+7.06","-3.36","-11.1","","-6","-0.04"
="020029","元大ESG高股息N","5.15","+1.58","","","","","+3.21","","","","","+46","+0.15"
="1101","台泥","48.95","+1.66","47.85","45.65","45.65","40.15","+1.45","-2.88","-6.58","-7.47","+19.8","-10,520","-22.6"
="1102","亞泥","44.9","+0.22","44","43","43","40","+1.58","-2.07","-2.07","-11.8","+7.29","+1,519","+8.16"
="1216","統一","67.4","+0.45","66.6","66.3","66.3","63","+0.75","-0.88","-9.65","-10.4","+7.32","-11,061","-44.4"
="1301","台塑","110","+2.8","105","95.6","91.2","81.3","+2.8","-6.78","+8.37","+3.77","+35","+3,319","+6.79"
="1303","南亞","85.7","+0.94","83.9","81.6","76","61.6","+0.94","-6.13","-2.94","-3.71","+38.9","-7,609","-21.5"
="1304","台聚","34.35","+0.44","33.6","29.6","27.45","18.4","-0.29","-11.2","+1.93","-5.24","+80.8","-2,715","-8.64"
="1305","華夏","36.3","-1.63","36","34.2","28.65","22.15","-2.55","-16","-4.72","-1.63","+63.1","-6,512","-13.9"
